cell_id,cell_lat,cell_lon,detections,dark,expected,solas,solas_dark,mean_length_m,fishing_share,cell_area_km2,scenes,corridor,dark_rate,expected_rate,sdr,excess_dark,density_per_1k_km2,solas_dark_rate,dark_rate_lo,dark_rate_hi,p_value,q_value,is_dark_spot,matched,matched_share,area_type,days_observed,days_dark_majority,persistence
34.5_10.5,34.5,10.5,74,61,29.82707740150785,29,20,83.01599061081082,0.3783783783783784,2539.7736715851565,6,Open ocean / other,0.8243243243243243,0.40306861353388984,2.0451215913268213,31.17292259849215,29.13645449116502,0.6896551724137931,0.7222779521065887,0.8943589104450547,1.259393280720668e-13,2.7813834582724544e-12,True,13,0.17567567567567569,Behavioural dark spot (selective switch-off),6,4,0.6666666666666666
5.5_80.5,5.5,80.5,49,17,8.35097293068908,42,14,179.6761066367347,0.10204081632653061,3075.5239629307252,4,Dondra Head / Sri Lanka corridor,0.3469387755102041,0.1704280189936547,2.0356909477608913,8.64902706931092,15.932244583556088,0.3333333333333333,0.2292420960931444,0.4868906478056021,0.002186953108366916,0.009659818410573867,True,32,0.6530612244897959,"Elevated dark, unclassified",2,1,0.5
-5.0_122.0,-5.0,122.0,40,34,16.745145877929797,4,2,52.8709066625,0.3,3080.4603636605075,4,Open ocean / other,0.85,0.4186286469482449,2.0304391641527713,17.254854122070203,12.985072124891113,0.5,0.7092737396097997,0.9293890829149256,2.3374338430035094e-08,2.9588491817532224e-07,True,6,0.15,Behavioural dark spot (selective switch-off),3,3,1.0
-6.0_120.0,-6.0,120.0,27,17,8.3863029549449,7,2,77.8509696962963,0.037037037037037035,3075.5239629307252,4,Open ocean / other,0.6296296296296297,0.3106038131461074,2.027114938648397,8.6136970450551,8.778991913388047,0.2857142857142857,0.442289046234463,0.7846771293206314,0.0006270149643303564,0.003027169920813535,True,10,0.37037037037037035,"Elevated dark, unclassified",4,3,0.75
25.0_52.5,25.0,52.5,42,23,11.412478363516797,20,8,140.26848772619047,0.07142857142857142,2795.740188976926,3,Persian Gulf,0.5476190476190477,0.2717256753218285,2.0153378843219523,11.587521636483203,15.022855187187293,0.4,0.39948862747122693,0.6877683618136149,0.00014609754933311918,0.000833237671471306,True,19,0.4523809523809524,Behavioural dark spot (selective switch-off),3,1,0.3333333333333333
9.5_102.0,9.5,102.0,30,27,13.431231772229246,4,1,57.47767893333333,0.5,3046.429330018552,4,Open ocean / other,0.9,0.4477077257409749,2.0102400478134763,13.568768227770754,9.847594265322186,0.25,0.7437855868473339,0.9654007400402839,2.818682067707126e-07,2.7864685583619016e-06,True,3,0.1,"Elevated dark, unclassified",3,3,1.0
20.5_87.5,20.5,87.5,49,41,20.490045320009827,24,16,102.73356499591836,0.46938775510204084,2890.5746194115304,4,Bay of Bengal,0.8367346938775511,0.4181641902042822,2.0009716601241925,20.509954679990173,16.951646800931066,0.6666666666666666,0.7096339333048477,0.9148740301179102,2.042755363876404e-09,3.118205981917217e-08,True,8,0.16326530612244897,Behavioural dark spot (selective switch-off),4,2,0.5
17.0_108.0,17.0,108.0,34,32,16.15090970774961,5,4,59.5422689882353,0.4411764705882353,2952.039858927605,3,South China Sea,0.9411764705882353,0.4750267561102826,1.9813125439395902,15.849090292250391,11.51745966341771,0.8,0.8090606311053629,0.9837176869361576,7.379085645578568e-09,1.0078277500145465e-07,True,2,0.058823529411764705,Behavioural dark spot (selective switch-off),3,3,1.0
-4.5_116.0,-4.5,116.0,40,21,10.939838683988592,11,3,87.6123139,0.1,3082.576770069333,4,Open ocean / other,0.525,0.2734959670997148,1.9195895484944703,10.060161316011408,12.976156956863177,0.2727272727272727,0.37497106853929735,0.6706477044981831,0.000661208567335781,0.003148323361901563,True,19,0.475,"Elevated dark, unclassified",3,2,0.6666666666666666
-1.0_117.0,-1.0,117.0,40,23,12.001267247447574,9,7,77.9217544625,0.1,3090.8118386878423,2,Open ocean / other,0.575,0.30003168118618934,1.9164642804610184,10.998732752552426,12.941583663980463,0.7777777777777778,0.42194800436059987,0.7149083147518411,0.00027507879786859975,0.001439111173447019,True,17,0.425,Behavioural dark spot (selective switch-off),2,2,1.0
