country,admin1,events,fatalities,population_exposure,lat,lon
Turkey,Yozgat,50,0,44787,39.6218,35.2999
Kuwait,Al Ahmadi,49,6,246585,28.8688,47.9227
Turkey,Bartin,47,0,45246,41.571,32.4886
Turkey,Bayburt,41,0,39047,40.2477,40.2223
Turkey,Cankiri,38,0,31479,40.6726,33.4398
Turkey,Ardahan,37,15,18577,41.1153,42.9326
Turkey,Isparta,37,0,85549,37.9293,30.8094
Turkey,Aksaray,35,0,82681,38.5127,33.8656
Qatar,Ar Rayyan,26,0,13587,24.931,50.9784
Oman,Muscat,21,9,233870,23.2501,58.7601
Saudi Arabia,Al Madinah,15,6,258376,25.0041,39.9162
Kuwait,Al Farwaniyah,15,1,300496,29.2476,47.9119
United Arab Emirates,Al Fujayrah,15,2,69051,25.4363,56.2301
Oman,Dhofar,13,1,29177,18.8597,54.5566
Oman,Musandam,13,6,5648,25.9953,56.303
Qatar,Al Khor,10,7,12513,25.7618,51.3405
United Arab Emirates,Ash Shariqah,9,2,329922,25.1368,55.8094
Oman,Al Batinah North,7,2,117276,24.2357,56.5739
Kuwait,Hawalli,6,0,388050,29.3117,48.0552
Qatar,Ash Sheehaniya,6,0,11017,25.4451,51.0111
Saudi Arabia,Tabuk,5,1,2682,27.2704,38.9507
Saudi Arabia,Al Jawf,5,1,69651,30.1511,39.7423
Oman,Ash Sharqiyah South,4,2,9869,22.1156,59.5208
Oman,Ad Dakhiliyah,4,0,12404,22.3885,57.2237
Oman,Ad Dhahirah,4,0,9612,23.0064,55.9877
Saudi Arabia,Al Qassim,3,4,92283,26.2766,43.325
Oman,Al Wusta,3,0,3136,20.4761,56.9042
United Arab Emirates,Ras Al Khaymah,3,0,56031,25.698,55.9686
Qatar,Umm Salal,3,0,8079,25.4782,51.3371
Oman,Al Batinah South,3,0,13400,23.4831,57.6494
Qatar,Al Wakrah,2,0,24609,24.8527,51.2992
Kuwait,Mubarak al Kabir,2,0,14391,29.2228,48.0509
Saudi Arabia,Hail,2,6,362,27.0911,41.45
Qatar,Ash Shamal,2,0,0,26.0015,51.2173
Saudi Arabia,Northern Borders,2,7,106888,29.8425,42.6838
Oman,Al Buraymi,1,0,0,24.3297,56.0538
Oman,Ash Sharqiyah North,1,0,1352,21.7224,58.5473
United Arab Emirates,Umm Al Qaywayn,1,0,14271,25.4619,55.7262
