platform_name,country_of_origin,manufacturer,commons_search_url,file,source_url,source_page_url,photographer,license_name,license_url
Inspire 3 Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Inspire%203%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Matrice 30,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Matrice%2030%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Matrice 30T,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Matrice%2030T%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Matrice 4D,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Matrice%204D%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Matrice 4E,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Matrice%204E%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Matrice 4T,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Matrice%204T%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Matrice 4TD,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Matrice%204TD%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Mavic 3 Pro,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Mavic%203%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Mavic 3 Pro Cine,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Mavic%203%20Pro%20Cine%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Mavic 3E,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Mavic%203E%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Mavic 3M,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Mavic%203M%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Mavic 3T,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Mavic%203T%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kronos AD Mavic 4 Pro,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Kronos%20AD%20Mavic%204%20Pro%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 30 Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Matrice%2030%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 30T Flysafe c5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Matrice%2030T%20Flysafe%20c5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 350 RTK C5,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Matrice%20350%20RTK%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 350 RTK Flysafe,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Matrice%20350%20RTK%20Flysafe%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 4 Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Matrice%204%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 4D Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Matrice%204D%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Matrice 4T Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Matrice%204T%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Mavic 3 Pro Cine Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Mavic%203%20Pro%20Cine%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Mavic 3 Pro Flysafe C5,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Mavic%203%20Pro%20Flysafe%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Mavic 3E Flysafe,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Mavic%203E%20Flysafe%20UAV&title=Special:MediaSearch&type=image,,,,,,
Mavic 3M Flysafe,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Mavic%203M%20Flysafe%20UAV&title=Special:MediaSearch&type=image,,,,,,
Mavic 3T Flysafe,China,Flying Eye,https://commons.wikimedia.org/w/index.php?search=Mavic%203T%20Flysafe%20UAV&title=Special:MediaSearch&type=image,,,,,,
Wing Loong I,China,AVIC,https://commons.wikimedia.org/w/index.php?search=Wing%20Loong%20I%20UAV&title=Special:MediaSearch&type=image,,,,,,
Wing Loong II,China,AVIC,https://commons.wikimedia.org/w/index.php?search=Wing%20Loong%20II%20UAV&title=Special:MediaSearch&type=image,,,,,,
Swift,Denmark,Upteko Aps,https://commons.wikimedia.org/w/index.php?search=Swift%20UAV&title=Special:MediaSearch&type=image,,,,,,
NDN Electric Drone,Finland,NOKIA SOLUTIONS AND NETWORKS OY,https://commons.wikimedia.org/w/index.php?search=NDN%20Electric%20Drone%20UAV&title=Special:MediaSearch&type=image,,,,,,
NDN electric drone XLR,Finland,NOKIA SOLUTIONS AND NETWORKS OY,https://commons.wikimedia.org/w/index.php?search=NDN%20electric%20drone%20XLR%20UAV&title=Special:MediaSearch&type=image,,,,,,
AD405,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=AD405%20UAV&title=Special:MediaSearch&type=image,,,,,,
AD405 Spray,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=AD405%20Spray%20UAV&title=Special:MediaSearch&type=image,,,,,,
AD405PRO Tethered,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=AD405PRO%20Tethered%20UAV&title=Special:MediaSearch&type=image,,,,,,
AD410,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=AD410%20UAV&title=Special:MediaSearch&type=image,,,,,,
AD410 Spray,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=AD410%20Spray%20UAV&title=Special:MediaSearch&type=image,,,,,,
AD420 Tethered,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=AD420%20Tethered%20UAV&title=Special:MediaSearch&type=image,,,,,,
ARES,France,OBJECTIF DRONE PRODUCTION,https://commons.wikimedia.org/w/index.php?search=ARES%20UAV&title=Special:MediaSearch&type=image,,,,,,
ATLAS,France,OBJECTIF DRONE PRODUCTION,https://commons.wikimedia.org/w/index.php?search=ATLAS%20UAV&title=Special:MediaSearch&type=image,,,,,,
Aerobotic Spray-L,France,Aeotic,https://commons.wikimedia.org/w/index.php?search=Aerobotic%20Spray-L%20UAV&title=Special:MediaSearch&type=image,,,,,,
CHRONOS,France,OBJECTIF DRONE PRODUCTION,https://commons.wikimedia.org/w/index.php?search=CHRONOS%20UAV&title=Special:MediaSearch&type=image,,,,,,
CHRONOS MINI,France,OBJECTIF DRONE PRODUCTION,https://commons.wikimedia.org/w/index.php?search=CHRONOS%20MINI%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK23VE SW C6,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK23VE%20SW%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK25 C5,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK25%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK25 C6,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK25%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK4 C5,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK4%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK4 C6,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK4%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK7-2 C6,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK7-2%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK9 C5,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK9%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
CK9 C6,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=CK9%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
DEN-S,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=DEN-S%20UAV&title=Special:MediaSearch&type=image,,,,,,
DEN-S Spray,France,Artech'Drone,https://commons.wikimedia.org/w/index.php?search=DEN-S%20Spray%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX 11 Caméra AG,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX%2011%20Cam%C3%A9ra%20AG%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX11 Caméra IR,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11%20Cam%C3%A9ra%20IR%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX11 Caméra RGB,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11%20Cam%C3%A9ra%20RGB%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX11 Longue Elongation Caméra AG,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11%20Longue%20Elongation%20Cam%C3%A9ra%20AG%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX11 Longue Elongation Caméra IR,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11%20Longue%20Elongation%20Cam%C3%A9ra%20IR%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX11 Longue Elongation Caméra RGB,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11%20Longue%20Elongation%20Cam%C3%A9ra%20RGB%20UAV&title=Special:MediaSearch&type=image,,,,,,
Delair UX11-Longue Élongation Caméra IR Radiométrique,France,Delair,https://commons.wikimedia.org/w/index.php?search=Delair%20UX11-Longue%20%C3%89longation%20Cam%C3%A9ra%20IR%20Radiom%C3%A9trique%20UAV&title=Special:MediaSearch&type=image,,,,,,
Hercules 20,France,DRONE VOLT,https://commons.wikimedia.org/w/index.php?search=Hercules%2020%20UAV&title=Special:MediaSearch&type=image,,,,,,
INNOVADRONE 410 SPECIAL,France,INNOVADRONE LLC,https://commons.wikimedia.org/w/index.php?search=INNOVADRONE%20410%20SPECIAL%20UAV&title=Special:MediaSearch&type=image,,,,,,
Kobra,France,DRONE VOLT,https://commons.wikimedia.org/w/index.php?search=Kobra%20UAV&title=Special:MediaSearch&type=image,,,,,,
MANTA,France,OBJECTIF DRONE PRODUCTION,https://commons.wikimedia.org/w/index.php?search=MANTA%20UAV&title=Special:MediaSearch&type=image,,,,,,
MéthoDrone Distribution,France,METHODRONE DISTRIBUTION,https://commons.wikimedia.org/w/index.php?search=M%C3%A9thoDrone%20Distribution%20UAV&title=Special:MediaSearch&type=image,,,,,,
Patroller,France,Sagem,https://commons.wikimedia.org/w/index.php?search=Patroller%20UAV&title=Special:MediaSearch&type=image,,,,,,
S-R,France,Aeotic,https://commons.wikimedia.org/w/index.php?search=S-R%20UAV&title=Special:MediaSearch&type=image,,,,,,
SERVICE2DRONE,France,"Thibaut, Bessard",https://commons.wikimedia.org/w/index.php?search=SERVICE2DRONE%20UAV&title=Special:MediaSearch&type=image,,,,,,
SERVIDRONE1000 C5 CAPTIF,France,"Houssard, Francois",https://commons.wikimedia.org/w/index.php?search=SERVIDRONE1000%20C5%20CAPTIF%20UAV&title=Special:MediaSearch&type=image,,,,,,
SERVIDRONE900C5 captif,France,"Houssard, Francois",https://commons.wikimedia.org/w/index.php?search=SERVIDRONE900C5%20captif%20UAV&title=Special:MediaSearch&type=image,,,,,,
SURVEYOR,France,INNOVADRONE LLC,https://commons.wikimedia.org/w/index.php?search=SURVEYOR%20UAV&title=Special:MediaSearch&type=image,,,,,,
SURVEYOR TETHERED,France,INNOVADRONE LLC,https://commons.wikimedia.org/w/index.php?search=SURVEYOR%20TETHERED%20UAV&title=Special:MediaSearch&type=image,,,,,,
SURVEYOR XL TETHERED,France,INNOVADRONE LLC,https://commons.wikimedia.org/w/index.php?search=SURVEYOR%20XL%20TETHERED%20UAV&title=Special:MediaSearch&type=image,,,,,,
SX1.2,France,XSUN,https://commons.wikimedia.org/w/index.php?search=SX1.2%20UAV&title=Special:MediaSearch&type=image,,,,,,
Servidrone1000 C5,France,"Houssard, Francois",https://commons.wikimedia.org/w/index.php?search=Servidrone1000%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Servidrone900 C5,France,"Houssard, Francois",https://commons.wikimedia.org/w/index.php?search=Servidrone900%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
Skydart5 C6,France,CAVOK UAS,https://commons.wikimedia.org/w/index.php?search=Skydart5%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
Skyinnov AQ3F,France,Aeromapping Solutions t/a SKYINNOV,https://commons.wikimedia.org/w/index.php?search=Skyinnov%20AQ3F%20UAV&title=Special:MediaSearch&type=image,,,,,,
TUNDRA 2.1 C5 C6,France,HEXADRONE,https://commons.wikimedia.org/w/index.php?search=TUNDRA%202.1%20C5%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
TUNDRA 2.1 C6,France,HEXADRONE,https://commons.wikimedia.org/w/index.php?search=TUNDRA%202.1%20C6%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR4 LIGHT,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR4%20LIGHT%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR4 MICRO,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR4%20MICRO%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR4 NANO,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR4%20NANO%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR4 NANO E,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR4%20NANO%20E%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR4 RUGGED,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR4%20RUGGED%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR8 COMPACT,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR8%20COMPACT%20UAV&title=Special:MediaSearch&type=image,,,,,,
AIR8 MEDIUM LIFTER,Germany,AIR6 SYSTEMS GmBH,https://commons.wikimedia.org/w/index.php?search=AIR8%20MEDIUM%20LIFTER%20UAV&title=Special:MediaSearch&type=image,,,,,,
HIGHDRA,Germany,Starcopter GmbH,https://commons.wikimedia.org/w/index.php?search=HIGHDRA%20UAV&title=Special:MediaSearch&type=image,,,,,,
Luna NG,Germany,EMT,https://commons.wikimedia.org/w/index.php?search=Luna%20NG%20UAV&title=Special:MediaSearch&type=image,,,,,,
M30 EU,Germany,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=M30%20EU%20UAV&title=Special:MediaSearch&type=image,,,,,,
M30T EU,Germany,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=M30T%20EU%20UAV&title=Special:MediaSearch&type=image,,,,,,
ABZ Innovation C10,Hungary,ABZ Innovation Kft.,https://commons.wikimedia.org/w/index.php?search=ABZ%20Innovation%20C10%20UAV&title=Special:MediaSearch&type=image,,,,,,
Mohajer-6,Iran,Qods Aviation,https://commons.wikimedia.org/w/index.php?search=Mohajer-6%20UAV&title=Special:MediaSearch&type=image,,,,,,
Shahed-129,Iran,HESA,https://commons.wikimedia.org/w/index.php?search=Shahed-129%20UAV&title=Special:MediaSearch&type=image,,,,,,
Harop,Israel,IAI,https://commons.wikimedia.org/w/index.php?search=Harop%20UAV&title=Special:MediaSearch&type=image,,,,,,
Harpy,Israel,IAI,https://commons.wikimedia.org/w/index.php?search=Harpy%20UAV&title=Special:MediaSearch&type=image,,,,,,
Hermes 450,Israel,Elbit Systems,https://commons.wikimedia.org/w/index.php?search=Hermes%20450%20UAV&title=Special:MediaSearch&type=image,,,,,,
Hermes 900,Israel,Elbit Systems,https://commons.wikimedia.org/w/index.php?search=Hermes%20900%20UAV&title=Special:MediaSearch&type=image,,,,,,
FireHound | FH-0,Italy,Vector Robotics Srl,https://commons.wikimedia.org/w/index.php?search=FireHound%20%7C%20FH-0%20UAV&title=Special:MediaSearch&type=image,,,,,,
Guardian,Italy,Vector Robotics Srl,https://commons.wikimedia.org/w/index.php?search=Guardian%20UAV&title=Special:MediaSearch&type=image,,,,,,
Guardian 4K,Italy,Vector Robotics Srl,https://commons.wikimedia.org/w/index.php?search=Guardian%204K%20UAV&title=Special:MediaSearch&type=image,,,,,,
