admin_id,country,admin1,lat,lon,events,fatalities,weeks_active,is_maritime
3396,Turkey,Kirklareli,41.6597,27.5054,175,0,136,False
3397,Turkey,Kirsehir,39.3091,34.0422,63,0,47,False
3398,Turkey,Kocaeli,40.8691,29.8208,868,2,346,False
3399,Turkey,Konya,38.0284,32.412,253,17,163,False
3400,Turkey,Kutahya,39.3321,29.606,139,0,78,False
3401,Turkey,Malatya,38.5104,37.8439,288,3,191,False
3402,Turkey,Manisa,38.7462,28.0939,393,0,231,False
3403,Turkey,Mardin,37.3257,40.7757,1284,796,444,False
3404,Turkey,Mersin,36.7331,33.7591,1184,11,405,False
3405,Turkey,Mugla,36.946,28.646,1165,9,339,False
3406,Turkey,Mus,39.009,41.9466,418,83,269,False
3407,Turkey,Nevsehir,38.8286,34.6035,61,0,44,False
3408,Turkey,Nigde,37.8547,34.7331,62,0,45,False
3409,Turkey,Ordu,40.738,37.411,179,12,116,False
3410,Turkey,Osmaniye,37.3416,36.2986,127,34,106,False
3411,Turkey,Rize,40.9104,40.817,155,0,112,False
3412,Turkey,Sakarya,40.7353,30.5722,200,10,150,False
3413,Turkey,Samsun,41.2783,35.8756,436,1,241,False
3414,Turkey,Sanliurfa,37.3442,38.9233,985,82,379,False
3415,Turkey,Siirt,37.9278,42.0911,553,360,284,False
3416,Turkey,Sinop,41.6486,34.992,73,2,58,False
3417,Turkey,Sirnak,37.4379,42.5882,1910,2403,501,False
3418,Turkey,Sivas,39.5473,37.2125,156,0,114,False
3419,Turkey,Tekirdag,41.0734,27.3901,268,1,191,False
3420,Turkey,Tokat,40.4006,36.6865,74,0,60,False
3421,Turkey,Trabzon,40.8094,39.7814,204,8,152,False
3422,Turkey,Tunceli,39.1892,39.347,962,502,422,False
3423,Turkey,Usak,38.5491,29.3243,68,0,55,False
3424,Turkey,Van,38.5455,43.5949,1766,420,488,False
3425,Turkey,Yalova,40.5992,29.2123,56,9,41,False
3426,Turkey,Yozgat,39.6218,35.2999,50,0,39,False
3427,Turkey,Zonguldak,41.2978,31.8293,142,0,102,False
3472,United Arab Emirates,Abu Dhabi,23.7727,53.7133,177,11,30,False
3474,United Arab Emirates,Al Fujayrah,25.4363,56.2301,15,2,8,False
3475,United Arab Emirates,Ash Shariqah,25.1368,55.8094,9,2,8,False
3476,United Arab Emirates,Dubai,24.9904,55.3711,64,4,18,False
3477,United Arab Emirates,Ras Al Khaymah,25.698,55.9686,3,0,1,False
3478,United Arab Emirates,Umm Al Qaywayn,25.4619,55.7262,1,0,1,False
3674,Yemen,Abyan,13.6274,46.228,3507,3655,559,False
3675,Yemen,Ad Dali,13.8943,44.7825,5363,11149,559,False
3676,Yemen,Aden,12.8058,44.788,4215,3592,588,False
3677,Yemen,Al Bayda,14.326,45.216,3989,9731,583,False
3678,Yemen,Al Hudaydah,14.7791,43.2181,16198,18730,593,False
3679,Yemen,Al Jawf,16.5962,45.5989,5823,16021,569,False
3680,Yemen,Al Mahrah,17.0575,51.8238,422,38,218,False
3681,Yemen,Al Mahwit,15.3084,43.4994,1395,79,224,False
3682,Yemen,Amanat al Asimah,15.4201,44.1919,3922,2398,561,False
3683,Yemen,Amran,16.1156,43.9414,1638,711,405,False
3684,Yemen,Dhamar,14.5395,44.3063,1625,683,394,False
3685,Yemen,Hadramawt,16.5288,48.6269,1852,1215,507,False
