cell_id,cell_lat,cell_lon,corridor,detections,dark,expected,sdr,dark_rate,solas_dark_rate,q_value,is_dark_spot,area_type,persistence,days_observed
36.5_122.5,36.5,122.5,Open ocean / other,100,10,38.163118876445616,0.2620330909634335,0.1,0.0,1.0,False,Normal,0.0,1
35.0_130.0,35.0,130.0,Open ocean / other,51,7,26.76786802639579,0.2615075654548693,0.13725490196078433,0.0,1.0,False,Normal,0.5,2
30.0_121.5,30.0,121.5,Open ocean / other,127,9,34.770762693229265,0.25883815317495246,0.07086614173228346,0.0,1.0,False,Normal,0.0,1
34.5_129.0,34.5,129.0,Open ocean / other,43,4,15.544299367071279,0.25732906357127405,0.09302325581395349,0.0,1.0,False,Normal,0.0,1
45.5_-2.5,45.5,-2.5,Open ocean / other,28,5,19.552828120901456,0.25571748337802513,0.17857142857142858,,1.0,False,Normal,0.0,5
38.5_118.5,38.5,118.5,Open ocean / other,80,4,15.6444651827482,0.2556814792499884,0.05,0.0,1.0,False,Normal,0.0,1
49.5_-3.5,49.5,-3.5,Open ocean / other,101,8,31.29008336804416,0.2556720576900161,0.07920792079207921,0.07547169811320754,1.0,False,Normal,0.0,5
37.5_-9.0,37.5,-9.0,Open ocean / other,29,2,7.837161788540003,0.25519442547741295,0.06896551724137931,0.0,1.0,False,Normal,0.0,3
7.0_79.5,7.0,79.5,Dondra Head / Sri Lanka corridor,25,2,7.861453940891483,0.25440586627328143,0.08,0.0,1.0,False,Normal,0.0,2
38.5_118.0,38.5,118.0,Open ocean / other,167,9,35.56068282635482,0.2530885035011166,0.05389221556886228,0.02654867256637168,1.0,False,Normal,0.0,1
5.0_5.0,5.0,5.0,Gulf of Guinea,98,11,43.49454960949067,0.25290525131911606,0.11224489795918367,0.15625,1.0,False,Normal,0.0,3
49.5_-4.0,49.5,-4.0,Open ocean / other,50,4,15.943645347671609,0.2508836538178614,0.08,0.12,1.0,False,Normal,0.0,5
30.5_122.5,30.5,122.5,Open ocean / other,59,5,19.93745029737734,0.2507843242451981,0.0847457627118644,0.06896551724137931,1.0,False,Normal,0.0,1
33.5_132.0,33.5,132.0,Open ocean / other,51,4,15.981706667856677,0.2502861604915468,0.0784313725490196,0.0,1.0,False,Normal,0.0,2
1.0_104.0,1.0,104.0,Singapore Strait,216,12,48.049246423783316,0.2497437710919076,0.05555555555555555,0.013422818791946308,1.0,False,Normal,0.0,2
25.5_-78.0,25.5,-78.0,Open ocean / other,27,2,8.010550112563129,0.24967074319444732,0.07407407407407407,0.0625,1.0,False,Normal,0.0,4
27.0_122.5,27.0,122.5,Open ocean / other,179,18,72.32728751410555,0.2488687274009767,0.1005586592178771,0.25,1.0,False,Normal,0.0,1
36.5_-7.0,36.5,-7.0,Open ocean / other,54,6,24.126955332632047,0.24868450731887068,0.1111111111111111,0.13636363636363635,1.0,False,Normal,0.0,3
4.0_7.0,4.0,7.0,Gulf of Guinea,121,14,56.73699575669145,0.2467525785122112,0.11570247933884298,0.0,1.0,False,Normal,0.0,4
21.5_113.0,21.5,113.0,South China Sea,68,6,24.468372542562637,0.24521451067344277,0.08823529411764706,0.0,1.0,False,Normal,0.0,1
50.5_1.5,50.5,1.5,Dover Strait / English Channel,27,2,8.245262898341284,0.24256352097667425,0.07407407407407407,0.0,1.0,False,Normal,0.0,5
41.5_32.0,41.5,32.0,Black Sea,37,2,8.25146415934491,0.24238122609245893,0.05405405405405406,0.05555555555555555,1.0,False,Normal,0.0,3
23.5_118.0,23.5,118.0,Taiwan Strait,25,1,4.164633790923384,0.24011715079953758,0.04,0.043478260869565216,1.0,False,Normal,0.0,2
28.0_49.5,28.0,49.5,Persian Gulf,78,6,25.01159666252918,0.23988872365708774,0.07692307692307693,0.07142857142857142,1.0,False,Normal,0.0,3
-24.5_-46.5,-24.5,-46.5,Open ocean / other,85,3,12.580270676446492,0.2384686368964042,0.03529411764705882,0.0,1.0,False,Normal,0.0,1
42.5_-10.0,42.5,-10.0,Open ocean / other,32,2,8.41537758910331,0.2376601618672119,0.0625,0.07142857142857142,1.0,False,Normal,0.2,5
29.5_123.0,29.5,123.0,Open ocean / other,56,4,16.854801464835234,0.2373210985810388,0.07142857142857142,0.027777777777777776,1.0,False,Normal,0.0,1
33.5_136.0,33.5,136.0,Open ocean / other,30,2,8.488371642717077,0.23561645085556268,0.06666666666666667,0.0,1.0,False,Normal,0.0,2
67.0_11.0,67.0,11.0,Open ocean / other,25,3,12.783953810319003,0.2346691832990235,0.12,,1.0,False,Normal,0.0,5
23.0_116.5,23.0,116.5,Open ocean / other,31,2,8.647534972946625,0.23127978160908266,0.06451612903225806,0.0,1.0,False,Normal,0.0,1
56.0_6.5,56.0,6.5,Open ocean / other,25,2,8.78408998144599,0.22768437074579817,0.08,0.07692307692307693,1.0,False,Normal,0.0,4
38.5_117.5,38.5,117.5,Open ocean / other,40,3,13.223552341318447,0.2268679340139313,0.075,0.0,1.0,False,Normal,0.0,1
56.5_11.5,56.5,11.5,Open ocean / other,44,4,17.684191563188215,0.22619071873924304,0.09090909090909091,0.09090909090909091,1.0,False,Normal,0.0,4
26.5_120.5,26.5,120.5,Open ocean / other,77,8,35.64917396098295,0.22440912680770056,0.1038961038961039,0.0,1.0,False,Normal,0.0,1
39.5_26.0,39.5,26.0,Turkish Straits (Bosphorus-Dardanelles),53,3,13.36949360819451,0.22439144577332548,0.05660377358490566,0.0,1.0,False,Normal,0.0,5
34.5_128.5,34.5,128.5,Open ocean / other,74,7,31.26306282220341,0.22390640481419866,0.0945945945945946,0.0,1.0,False,Normal,0.0,2
66.0_12.5,66.0,12.5,Open ocean / other,37,3,13.419133788048136,0.22356137492808778,0.08108108108108109,0.0,1.0,False,Normal,0.0,5
28.0_122.5,28.0,122.5,Open ocean / other,26,2,9.002037220245503,0.2221719318713788,0.07692307692307693,0.0,1.0,False,Normal,0.0,1
51.5_3.5,51.5,3.5,Open ocean / other,69,4,18.34568123849802,0.21803496681312032,0.057971014492753624,0.0,1.0,False,Normal,0.0,7
53.0_3.5,53.0,3.5,Open ocean / other,30,2,9.313470737905531,0.21474271582344306,0.06666666666666667,0.0,1.0,False,Normal,0.0,5
41.0_2.0,41.0,2.0,Open ocean / other,66,3,14.051335311136501,0.21350284037577022,0.045454545454545456,0.0,1.0,False,Normal,0.0,3
26.5_121.0,26.5,121.0,Open ocean / other,30,2,9.382702351213176,0.2131582059342852,0.06666666666666667,0.0,1.0,False,Normal,0.0,2
37.5_123.0,37.5,123.0,Open ocean / other,37,2,9.400075420521212,0.21276425034141958,0.05405405405405406,0.0,1.0,False,Normal,0.0,2
38.0_24.5,38.0,24.5,Open ocean / other,28,1,4.730104919941456,0.21141180099074353,0.03571428571428571,0.041666666666666664,1.0,False,Normal,0.0,4
48.5_-6.0,48.5,-6.0,Open ocean / other,32,2,9.478491083298572,0.21100404931794145,0.0625,0.05,1.0,False,Normal,0.0,3
41.0_19.0,41.0,19.0,Open ocean / other,26,2,9.586945888945262,0.20861701142031128,0.07692307692307693,0.0,1.0,False,Normal,0.0,3
24.0_118.5,24.0,118.5,Taiwan Strait,36,2,9.598285500163586,0.20837054700716223,0.05555555555555555,0.047619047619047616,1.0,False,Normal,0.0,1
57.5_10.5,57.5,10.5,Open ocean / other,133,8,38.43077904450531,0.20816648006889182,0.06015037593984962,0.023255813953488372,1.0,False,Normal,0.0,3
21.0_111.0,21.0,111.0,South China Sea,89,10,49.06290648411378,0.20381996739711963,0.11235955056179775,0.0,1.0,False,Normal,0.0,1
37.5_-1.5,37.5,-1.5,Open ocean / other,27,1,4.983119700066123,0.20067749927555034,0.037037037037037035,0.0,1.0,False,Normal,0.0,4
54.5_10.0,54.5,10.0,Open ocean / other,44,3,15.145495089326715,0.1980787014426587,0.06818181818181818,0.0,1.0,False,Normal,0.0,4
44.0_14.5,44.0,14.5,Open ocean / other,39,5,25.26540725976869,0.19789904625688493,0.1282051282051282,0.0,1.0,False,Normal,0.4,5
9.0_-80.0,9.0,-80.0,Panama Canal approaches,59,2,10.16684139631308,0.19671793057825052,0.03389830508474576,0.0,1.0,False,Normal,0.0,1
59.0_5.5,59.0,5.5,Open ocean / other,44,3,15.372642257975496,0.19515187757937755,0.06818181818181818,0.09090909090909091,1.0,False,Normal,0.0,4
40.5_29.0,40.5,29.0,Turkish Straits (Bosphorus-Dardanelles),123,6,30.79160071781848,0.1948583334457153,0.04878048780487805,0.03076923076923077,1.0,False,Normal,0.0,3
-21.5_149.5,-21.5,149.5,Open ocean / other,38,1,5.218034731744862,0.19164303256095985,0.02631578947368421,0.02631578947368421,1.0,False,Normal,0.0,1
33.0_131.5,33.0,131.5,Open ocean / other,70,4,20.93692085096325,0.19105006072638284,0.05714285714285714,0.0,1.0,False,Normal,0.0,2
